Date,Race,Gap,Step,Stake,Cost,Payout,PnL,Equity,Notes
2025-01-22,3,10,3,2.8899999999999997,3.4,0.0,-3.4,-467.11881332699977,LOSS (Stp 2)
2025-01-22,4,0,1,1.0,8.669999999999998,26.009999999999998,17.34,-449.7788133269998,WIN on 7 (Stp 3)
2025-01-26,2,10,2,1.7,1.0,0.0,-1.0,-450.7788133269998,LOSS Entry
2025-01-26,3,11,3,2.8899999999999997,3.4,0.0,-3.4,-454.1788133269998,LOSS (Stp 2)
2025-01-27,2,0,1,1.0,2.8899999999999997,26.009999999999998,23.119999999999997,-431.05881332699977,WIN on 3 (Stp 3)
2025-02-18,3,0,1,1.0,2.0,9.0,7.0,-424.05881332699977,WIN Entry on 3
2025-02-27,3,0,1,1.0,2.0,9.0,7.0,-417.05881332699977,WIN Entry on 3
2025-03-03,4,0,1,1.0,3.0,9.0,6.0,-411.05881332699977,WIN Entry on 1
2025-03-16,2,10,2,1.7,1.0,0.0,-1.0,-412.05881332699977,LOSS Entry
2025-03-16,3,11,3,2.8899999999999997,3.4,0.0,-3.4,-415.45881332699975,LOSS (Stp 2)
2025-03-17,2,12,4,4.912999999999999,2.8899999999999997,0.0,-2.8899999999999997,-418.34881332699973,LOSS (Stp 3)
2025-03-17,3,13,5,8.352099999999998,9.825999999999999,0.0,-9.825999999999999,-428.17481332699975,LOSS (Stp 4)
2025-03-17,4,14,6,14.198569999999997,25.056299999999993,0.0,-25.056299999999993,-453.2311133269998,LOSS (Stp 5)
2025-03-18,2,15,7,24.137568999999992,14.198569999999997,0.0,-14.198569999999997,-467.4296833269998,LOSS (Stp 6)
2025-03-18,3,16,8,41.03386729999998,48.275137999999984,0.0,-48.275137999999984,-515.7048213269998,LOSS (Stp 7)
2025-03-18,4,17,9,69.75757440999998,123.10160189999995,0.0,-123.10160189999995,-638.8064232269998,LOSS (Stp 8)
2025-03-19,2,18,10,118.58787649699995,69.75757440999998,0.0,-69.75757440999998,-708.5639976369997,LOSS (Stp 9)
2025-03-19,3,0,1,1.0,237.1757529939999,1067.2908884729995,830.1151354789996,121.55113784199989,WIN on 1 (Stp 10)
2025-03-24,4,10,2,1.7,3.0,0.0,-3.0,118.55113784199989,LOSS Entry
2025-03-25,2,11,3,2.8899999999999997,1.7,0.0,-1.7,116.85113784199989,LOSS (Stp 2)
2025-03-25,3,12,4,4.912999999999999,5.779999999999999,0.0,-5.779999999999999,111.07113784199989,LOSS (Stp 3)
2025-03-25,4,13,5,8.352099999999998,14.738999999999997,0.0,-14.738999999999997,96.3321378419999,LOSS (Stp 4)
2025-03-26,2,14,6,14.198569999999997,8.352099999999998,0.0,-8.352099999999998,87.9800378419999,LOSS (Stp 5)
2025-03-26,3,15,7,24.137568999999992,28.397139999999993,0.0,-28.397139999999993,59.58289784199991,LOSS (Stp 6)
2025-03-27,2,16,8,41.03386729999998,24.137568999999992,0.0,-24.137568999999992,35.44532884199992,LOSS (Stp 7)
2025-03-27,3,17,9,69.75757440999998,82.06773459999997,0.0,-82.06773459999997,-46.62240575800005,LOSS (Stp 8)
2025-03-28,2,18,10,118.58787649699995,69.75757440999998,0.0,-69.75757440999998,-116.37998016800003,LOSS (Stp 9)
2025-03-28,3,19,0,1.0,237.1757529939999,0.0,-237.1757529939999,-353.5557331619999,LOSS (Stp 10) [STOP LOSS]
2025-03-29,2,20,2,1.7,1.0,0.0,-1.0,-354.5557331619999,LOSS Entry
2025-03-29,3,21,3,2.8899999999999997,3.4,0.0,-3.4,-357.9557331619999,LOSS (Stp 2)
2025-03-29,4,22,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,-366.6257331619999,LOSS (Stp 3)
2025-03-30,2,23,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,-371.5387331619999,LOSS (Stp 4)
2025-03-30,3,24,6,14.198569999999997,16.704199999999997,0.0,-16.704199999999997,-388.24293316199993,LOSS (Stp 5)
2025-03-31,2,25,7,24.137568999999992,14.198569999999997,0.0,-14.198569999999997,-402.44150316199995,LOSS (Stp 6)
